rule_id;parent;realName;ECA;myOperator;nextOperator;readableValue;descriptiveName;author;ruleName;naturalLanguage;partialNaturalLanguage;Negation;Goal;User;Situation
10;activity;medicationname;condition;equal;NEXTOPERATOR;Cardicor ;activity-medicationname;domainExpert4;Cardicor ;if Cardicor has not been taken between 8:04 pm and 9:05 pm, send two alerts by notification;if Cardicor has not been taken between 8:04 pm and 9:05 pm;NOT WHEN;Health;Caregiver;Generic
10;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take the evening Cardicor ;alarms-alarms;domainExpert4;Cardicor ;if Cardicor has not been taken between 8:04 pm and 9:05 pm, send two alerts by notification;"send two alerts ""Cardicor "" by notification";;Health;Caregiver;Generic
11;activity;medicationname;condition;equal;NEXTOPERATOR;Provisacor;activity-medicationname;domainExpert4;Provisacor Sera;if Provisacor has not been taken between 20:11 and 21:12, send two alerts by notification ;if Provisacor has not been taken between 20:11 and 21:12;NOT WHEN;Health;Caregiver;Generic
11;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take the evening Provisacor ;alarms-alarms;domainExpert4;Provisacor Sera;if Provisacor has not been taken between 20:11 and 21:12, send two alerts by notification ;"send two alerts ""Take the evening Provisacor "" by notification ";;Health;Caregiver;Generic
12;activity;medicationname;condition;equal;NEXTOPERATOR;Tardifer lunch;activity-medicationname;domainExpert4;Tardifer pranzo;If Tardifer Lunch was not taken between 1:08 PM and 2:09 PM, please send two alerts by notification;If Tardifer Lunch was not taken between 1:08 PM and 2:09 PM;NOT WHEN;Health;Caregiver;Generic
12;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Tardifer ;alarms-alarms;domainExpert4;Tardifer pranzo;If Tardifer Lunch was not taken between 1:08 PM and 2:09 PM, please send two alerts by notification;"please send two alerts ""Take the evening Provisacor "" by notification";;Health;Caregiver;Generic
13;activity;medicationname;condition;equal;NEXTOPERATOR;Duoplavin lunch;activity-medicationname;domainExpert4;Duoplavin pranzo;if Duoplavin lunch was not taken between 1:07 pm and 2:09 pm, send two alerts by notification;if Duoplavin lunch was not taken between 1:07 pm and 2:09 pm;NOT WHEN;Health;Caregiver;Generic
13;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Duoplavin lunch;alarms-alarms;domainExpert4;Duoplavin pranzo;if Duoplavin lunch was not taken between 1:07 pm and 2:09 pm, send two alerts by notification;"send two alerts ""Duoplavin lunch"" by notification";;Health;Caregiver;Generic
14;activity;medicationname;condition;equal;NEXTOPERATOR;Ganfort eye drops;activity-medicationname;domainExpert4;Ganfort collirio;if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM, send two alerts by notification;if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM;NOT WHEN;Health;Caregiver;Generic
14;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Ganfort eye drops evening;alarms-alarms;domainExpert4;Ganfort collirio;if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM, send two alerts by notification;"send two alerts ""Ganfort eye drops evening"" by notification";;Health;Caregiver;Generic
15;activity;medicationname;condition;equal;NEXTOPERATOR;Trusopt eye drops evening;activity-medicationname;domainExpert4;Trusopt collirio sera;if Trusopt evening eye drops were not taken between 8:02 pm and 9:05 pm, send two alerts by notification;if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM;NOT WHEN;Health;Caregiver;Generic
15;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Trusopt eye drops evening;alarms-alarms;domainExpert4;Trusopt collirio sera;if Trusopt evening eye drops were not taken between 8:02 pm and 9:05 pm, send two alerts by notification;"send two alerts ""Trusopt eye drops evening"" by notification";;Health;Caregiver;Generic
16;activity;medicationname;condition;equal;NEXTOPERATOR;Trusopt lunch;activity-medicationname;domainExpert4;Trusopt collirio pranzo;if Trusopt lunch was not taken between 1:03 pm and 2:04 pm, send two alerts by notification;if Trusopt lunch was not taken between 1:03 pm and 2:04 pm;NOT WHEN;Health;Caregiver;Generic
16;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Trusopt eye drops lunch;alarms-alarms;domainExpert4;Trusopt collirio pranzo;if Trusopt lunch was not taken between 1:03 pm and 2:04 pm, send two alerts by notification;"send two alerts ""Trusopt lunch"" by notification";;Health;Caregiver;Generic
17;activity;medicationname;condition;equal;NEXTOPERATOR;Trusopt eye drops;activity-medicationname;domainExpert4;Trusopt;if Truopt eye drops have not been taken between 07:32 and 08:02, send two alerts by notification;if Truopt eye drops have not been taken between 07:32 and 08:02;NOT WHEN;Health;Caregiver;Generic
17;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Trusopt drops morning;alarms-alarms;domainExpert4;Trusopt;if Truopt eye drops have not been taken between 07:32 and 08:02, send two alerts by notification;"send two alerts ""Take Trusopt drops morning"" by notification";;Health;Caregiver;Generic
18;activity;medicationname;condition;equal;NEXTOPERATOR;Zoloft;activity-medicationname;domainExpert4;Zoloft;if Zoloft have not been taken between 07:31 and 08:01, send two alerts by notification;if Zoloft have not been taken between 07:31 and 08:01;NOT WHEN;Health;Caregiver;Generic
18;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Zoloft;alarms-alarms;domainExpert4;Zoloft;if Zoloft have not been taken between 07:31 and 08:01, send two alerts by notification;"send two alerts ""Take Zoloft"" by notification";;Health;Caregiver;Generic
19;activity;medicationname;condition;equal;NEXTOPERATOR;Lansoprazolo;activity-medicationname;domainExpert4;Lansoprazolo mattina;if Lansoprazolo have not been taken between 07:30 and 08:00, send two alerts by notification;if Lansoprazolo have not been taken between 07:30 and 08:00;NOT WHEN;Health;Caregiver;Generic
19;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Lansoprazolo;alarms-alarms;domainExpert4;Lansoprazolo mattina;if Lansoprazolo have not been taken between 07:30 and 08:00, send two alerts by notification;"send two alerts ""Take Lansoprazolo"" by notification";;Health;Caregiver;Generic
20;activity;medicationname;condition;equal;NEXTOPERATOR;Eucreas evening;activity-medicationname;domainExpert4;Eucreas della sera;if Eucreas evening was not taken between 8pm and 9pm, please send two notices by notification;if Eucreas evening was not taken between 8pm and 9pm;NOT WHEN;Health;Caregiver;Generic
20;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take evening Eucreas ;alarms-alarms;domainExpert4;Eucreas della sera;if Eucreas evening was not taken between 8pm and 9pm, please send two notices by notification;"please send two notices ""Eucreas evening"" by notification";;Health;Caregiver;Generic
21;activity;medicationname;condition;equal;NEXTOPERATOR;Eucreas lunch;activity-medicationname;domainExpert4;Eucreas Pranzo;if Eucreas lunch was not taken between 1pm and 2pm, please send two notices by notification;if Eucreas lunch was not taken between 1pm and 2pm;NOT WHEN;Health;Caregiver;Generic
21;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Eucreas Lunch;alarms-alarms;domainExpert4;Eucreas Pranzo;if Eucreas lunch was not taken between 1pm and 2pm, please send two notices by notification;"please send two notices ""Take Eucreas Lunch"" by notification";;Health;Caregiver;Generic
22;activity;medicationname;event;equal;NEXTOPERATOR;Eucreas;activity-medicationname;domainExpert4;Eucreas mattina;if Eucreas morning was not taken between 7:30am and 8:00am, please send two notices by notification;if Eucreas morning was not taken between 7:30am and 8:00am;NOT WHEN;Health;Caregiver;Generic
22;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Morning Eucreas ;alarms-alarms;domainExpert4;Eucreas mattina;if Eucreas morning was not taken between 7:30am and 8:00am, please send two notices by notification;"please send two notices ""Take Morning Eucreas "" by notification";;Health;Caregiver;Generic
23;greatluminaire;state;condition;notequal;and;OFF;greatluminaire-state;domainExpert4;prova n2;if  Great Luminaire state is different from  off  and time is  13:37 minutes ,  do send  reminder  by notification;if  Great Luminaire state is different from  off and;;Generic;Caregiver;Debug
23;datetime;localtime;condition;equal;NEXTOPERATOR;13:37;datetime-localtime;domainExpert4;prova n2;if  Great Luminaire state is different from  off  and time is  13:37 minutes ,  do send  reminder  by notification;time is  13:37 minutes ;;Generic;Caregiver;Debug
23;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Turn off the great luminarie;reminders-reminders;domainExpert4;prova n2;if  Great Luminaire state is different from  off  and time is  13:37 minutes ,  do send  reminder  by notification;"do send  the reminder ""Turn off the great luminarie"" by notification";;Generic;Caregiver;Debug
24;greatluminaire;state;condition;notequal;NEXTOPERATOR;OFF;greatluminaire-state;domainExpert4;great luminarie prova1;if  Great Luminaire state is different from  off  ,  do send  reminder  by notification;if  Great Luminaire state is different from  off;;Generic;Caregiver;Debug
24;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Turn off the great luminarie;reminders-reminders;domainExpert4;great luminarie prova1;if  Great Luminaire state is different from  off  ,  do send  reminder  by notification;"do send  the reminder ""Turn off the great luminarie"" by notification";;Generic;Caregiver;Debug
25;livingroom;lightlevel;event;equal;NEXTOPERATOR;LOW_LIGHT;livingroom-lightlevel;domainExpert4;Luce in soggiorno;when the light level of the LivingRoom becomes poorly lit, shed some light in the living room;when the light level of the LivingRoom becomes poorly lit;;Comfort;Caregiver;Generic
25;livingroom;changelightstate;action;OPERATOR;NEXTOPERATOR;ON;livingroom-changelightstate;domainExpert4;Luce in soggiorno;when the light level of the LivingRoom becomes poorly lit, shed some light in the living room;shed some light in the living room;;Comfort;Caregiver;Generic
26;physiological;steps;condition;less;NEXTOPERATOR;5000;physiological-steps;domainExpert4;Attività  fisica;if the daily steps of Test-user are less than 5000, send a reminder via email to caregiver.1@provider.it;if the daily steps of Test-user are less than 5000;;Wellbeing, Health;Caregiver;Generic
26;reminders;reminders;action;OPERATOR;NEXTOPERATOR;exercises on the treadmill;reminders-reminders;domainExpert4;Attività  fisica;if the daily steps of Test-user are less than 5000, send a reminder via email to caregiver.1@provider.it;"send the reminder ""exercises on the treadmill"" via email to caregiver.1@provider.it";;Wellbeing, Health;Caregiver;Generic
27;relativeposition;typeofproximity;event;outside;NEXTOPERATOR;house;relativeposition-typeofproximity;domainExpert5;Fuori casa di sera;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;when the test user goes out and;;Safety;Caregiver;ElderlyAlone
27;datetime;localtime;condition;morethen;and;21:00;datetime-localtime;domainExpert5;Fuori casa di sera;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;the time is between 21:00 and 22:00;;Safety;Caregiver;ElderlyAlone
27;datetime;localtime;condition;lessthen;and;22:00;datetime-localtime;domainExpert5;Fuori casa di sera;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;the time is between 21:00 and 22:00;;Safety;Caregiver;ElderlyAlone
27;alarms;alarms;action;OPERATOR;NEXTOPERATOR;User 2 is away from home late at night;alarms-alarms;domainExpert5;Fuori casa di sera;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;"send two SMS alerts ""User 2 is away from home late at night"" to Caregiver 2";;Safety;Caregiver;ElderlyAlone
28;cognitive;trainingtime;condition;less;NEXTOPERATOR;1;cognitive-trainingtime;domainExpert5;Esercizi cognitivi;if the user test training time is less than 1, send an alarm by notification;if the user test training time is less than 1;;Wellbeing, Health;Caregiver;Generic
28;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Keep practicing;alarms-alarms;domainExpert5;Esercizi cognitivi;if the user test training time is less than 1, send an alarm by notification;"send an alarm ""Keep practicing"" by notification";;Wellbeing, Health;Caregiver;Generic
29;medication;intaketime;condition;notequal;NEXTOPERATOR;15:00;medication-intaketime;domainExpert5;Assunzione farmaco ;if  Test-user intake time is different from  15:00  ,  do send  one  alarm  by notification;if  Test-user intake time is different from  15:00;;Health;Caregiver;Generic
29;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take the 3 o'clock pill;alarms-alarms;domainExpert5;Assunzione farmaco ;if  Test-user intake time is different from  15:00  ,  do send  one  alarm  by notification;"do send  one  alarm ""Take the 3 o'clock pill"" by notification";;Health;Caregiver;Generic
30;activity;medicationname;event;equal;NEXTOPERATOR;Aprovel/Coaprovel;activity-medicationname;domainExpert5;Aprovel/Coaprovel;If Aprovel / Coaprovel has not been taken between 20:00 and 20:15, send three notices by notification;If Aprovel / Coaprovel has not been taken between 20:00 and 20:15;;Health;Caregiver;Generic
30;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Aprovel/Coaprovel ;alarms-alarms;domainExpert5;Aprovel/Coaprovel;If Aprovel / Coaprovel has not been taken between 20:00 and 20:15, send three notices by notification;"send three notices ""Aprovel/Coaprovel "" by notification";;Health;Caregiver;Generic
31;activity;medicationname;event;equal;NEXTOPERATOR;Ibustrin 200 mg 1cp /die;activity-medicationname;domainExpert5;Ibustrin 200 mg 1cp/die;If Ibustrin 200mg 1cp has not been taken between 2:00pm and 2:15pm, send three notices by notification;If Ibustrin 200mg 1cp has not been taken between 2:00pm and 2:15pm;;Health;Caregiver;Generic
31;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Ibustrin 200 mg 1cp/die;alarms-alarms;domainExpert5;Ibustrin 200 mg 1cp/die;If Ibustrin 200mg 1cp has not been taken between 2:00pm and 2:15pm, send three notices by notification;"send three notices ""Ibustrin 200 mg 1cp/die"" by notification";;Health;Caregiver;Generic
32;activity;medicationname;event;equal;NEXTOPERATOR;Norvasc 5mg 1cp/die;activity-medicationname;domainExpert5;Norvasc 5 mg 1cp/die;If Navarsc 5mg 1cp /die has not been taken between 9:00am and 9:05am, send three notices by notification;If Navarsc 5mg 1cp /die has not been taken between 9:00am and 9:05am;;Health;Caregiver;Generic
32;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Norvasc 5 mg 1cp/die;alarms-alarms;domainExpert5;Norvasc 5 mg 1cp/die;If Navarsc 5mg 1cp /die has not been taken between 9:00am and 9:05am, send three notices by notification;"send three notices ""Norvasc 5 mg 1cp/die"" by notification";;Health;Caregiver;Generic
33;activity;medicationname;event;equal;NEXTOPERATOR;Tenormin 1/4 cp/die;activity-medicationname;domainExpert5;Tenormin 1/4 cp/die;If Tenormin 1/4 cp/die has not been taken between 9:00am and 9:15am, send three notices by notification;If Tenormin 1/4 cp/die has not been taken between 9:00am and 9:15am;;Health;Caregiver;Generic
33;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Tenormin 1/4 pill;alarms-alarms;domainExpert5;Tenormin 1/4 cp/die;If Tenormin 1/4 cp/die has not been taken between 9:00am and 9:15am, send three notices by notification;"send three notices ""Tenormin 1/4 pill"" by notification";;Health;Caregiver;Generic
34;activity;medicationname;event;equal;NEXTOPERATOR;Pantorc;activity-medicationname;domainExpert5;Assumere Pantorc 1cp/die;If Pantorc has not been taken between 7:00am and 7:15am, send three notices by notification;If Pantorc has not been taken between 7:00am and 7:15am;;Health;Caregiver;Generic
34;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Remember to take the Pantorc;alarms-alarms;domainExpert5;Assumere Pantorc 1cp/die;If Pantorc has not been taken between 7:00am and 7:15am, send three notices by notification;"send three notices ""Remember to take the Pantorc"" by notification";;Health;Caregiver;Generic
35;activity;medicationname;event;equal;NEXTOPERATOR;Aplactin 20 mg 1cp/die;activity-medicationname;domainExpert5;Aplactin 20 mg 1cp/die;If Aplactin 20 mg 1 cp/die has not been taken between 8:00pm and 8:20pm, send three notices by notification;If Aplactin 20 mg 1 cp/die has not been taken between 8:00pm and 8:20pm;;Health;Caregiver;Generic
35;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Aplactin 20 mg 1cp/die;alarms-alarms;domainExpert5;Aplactin 20 mg 1cp/die;If Aplactin 20 mg 1 cp/die has not been taken between 8:00pm and 8:20pm, send three notices by notification;"send three notices ""Aplactin 20 mg 1cp/die"" by notification";;Health;Caregiver;Generic
36;cognitive;trainingtime;condition;less;NEXTOPERATOR;20;cognitive-trainingtime;domainExpert5;Continua ad esercitarti;If the training time for the trial user is less than 20, send a reminder by notification;If the training time for the trial user is less than 20;;Wellbeing, Health;Caregiver;Generic
36;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Do some more exercise;reminders-reminders;domainExpert5;Continua ad esercitarti;If the training time for the trial user is less than 20, send a reminder by notification;"send the reminder ""Do some more exercise"" by notification";;Wellbeing, Health;Caregiver;Generic
37;activity;medicationname;condition;equal;NEXTOPERATOR;Aspirine;activity-medicationname;applicationExpert1;aspirine_taken;if Aspirine has been taken   ,  do send  one  reminder  by notification;if Aspirine has been taken;;Health;Caregiver;Generic
37;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Aspirine taken;reminders-reminders;applicationExpert1;aspirine_taken;if Aspirine has been taken   ,  do send  one  reminder  by notification;"do send  one  reminder  ""Aspirine taken"" by notification";;Health;Caregiver;Generic
38;activity;medicationname;event;equal;NEXTOPERATOR;Aspirine;activity-medicationname;applicationExpert1;aspirine_not_taken_in_time_interval;If Aspirine has not been taken    between 17:18 and 17:22 ,  do send  one  alarm  by notification;If Aspirine has not been taken    between 17:18 and 17:22;;Health;Caregiver;Generic
38;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Marco did not take the Aspirine!;alarms-alarms;applicationExpert1;aspirine_not_taken_in_time_interval;If Aspirine has not been taken    between 17:18 and 17:22 ,  do send  one  alarm  by notification;"do send  one  reminder  ""Marco did not take the Aspirine!"" by notification";;Health;Caregiver;Generic
39;bedroom;lightlevel;event;equal;NEXTOPERATOR;NO_LIGHT;bedroom-lightlevel;applicationExpert1;8-no_light;When  Bedroom light level becomes  no light  ,  do start biorhythm light scene in the bedroom;When  Bedroom light level becomes  no light;;Comfort, Wellbeing;Generic;Generic
39;bedroom;biorhythmlight;action;OPERATOR;NEXTOPERATOR;VALUE;bedroom-biorhythmlight;applicationExpert1;8-no_light;When  Bedroom light level becomes  no light  ,  do start biorhythm light scene in the bedroom;do start biorhythm light scene in the bedroom;;Comfort, Wellbeing;Generic;Generic
40;datetime;localtime;event;equal;and;18:25;datetime-localtime;applicationExpert1;7-time_steps; When time becomes  18:25 minutes and  if  Marco daily footsteps is    less then  5000  ,  do send  one  reminder  by notification;When time becomes  18:25 minutes and;;Wellbeing, Health;Generic;GoodWeather
40;physiological;steps;condition;less;and;5000;physiological-steps;applicationExpert1;7-time_steps; When time becomes  18:25 minutes and  if  Marco daily footsteps is    less then  5000  ,  do send  one  reminder  by notification;if  Marco daily footsteps is    less then  5000;;Wellbeing, Health;Generic;GoodWeather
40;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Go outside to have a walk;reminders-reminders;applicationExpert1;7-time_steps; When time becomes  18:25 minutes and  if  Marco daily footsteps is    less then  5000  ,  do send  one  reminder  by notification;"do send  one  reminder ""Go outside to have a walk"" by notification";;Wellbeing, Health;Generic;GoodWeather
41;timeinsidearoom;timeinsidebathroom;event;more;NEXTOPERATOR;60;timeinsidearoom-timeinsidebathroom;applicationExpert1;6-time_inside_bathroom;When time inside bathroom becomes  more then  60 minutes ,  do send  one  alarm  by notification;When time inside bathroom becomes  more then  60 minutes;;Safety;Caregiver;Generic
41;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Marco is in the bathroom for more than 1 hour;alarms-alarms;applicationExpert1;6-time_inside_bathroom;When time inside bathroom becomes  more then  60 minutes ,  do send  one  alarm  by notification;"do send  one  alarm ""Marco is in the bathroom for more than 1 hour"" by notification";;Safety;Caregiver;Generic
42;relativeposition;typeofproximity;event;inside;NEXTOPERATOR;bedroom;relativeposition-typeofproximity;applicationExpert1;4-inside_bedroom;When  Marco   is  inside  bedroom ,  do start relaxing light scene in the bedroom;When  Marco   is  inside  bedroom;;Wellbeing;Generic;Generic
42;bedroom;relax;action;OPERATOR;NEXTOPERATOR;VALUE;bedroom-relax;applicationExpert1;4-inside_bedroom;When  Marco   is  inside  bedroom ,  do start relaxing light scene in the bedroom;do start relaxing light scene in the bedroom;;Wellbeing;Generic;Generic
43;bedroom;motion;event;equal;and;TRUE;bedroom-motion;applicationExpert1;3-bedroom_motion_night; When  Bedroom motion becomes  active    and  If time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;When  Bedroom motion becomes  active and;;Generic;Caregiver;Generic
43;datetime;localtime;condition;between;and;17:55;datetime-localtime;applicationExpert1;3-bedroom_motion_night; When  Bedroom motion becomes  active    and  If time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;If time  is between 17:55 AND 18:00;;Generic;Caregiver;Generic
43;datetime;localtime;condition;lessthen;and;18:00;datetime-localtime;applicationExpert1;3-bedroom_motion_night; When  Bedroom motion becomes  active    and  If time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;If time  is between 17:55 AND 18:00;;Generic;Caregiver;Generic
43;corridor;light strip corridor;action;OPERATOR;NEXTOPERATOR;GREEN;corridor-light strip corridor;applicationExpert1;3-bedroom_motion_night; When  Bedroom motion becomes  active    and  If time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;;Generic;Caregiver;Generic
44;datetime;localtime;event;equal;NEXTOPERATOR;17:52;datetime-localtime;applicationExpert1;1-reminder_by_notification;When time becomes  17:52 minutes ,  do send  reminder  by notification;When time becomes  17:52 minutes;;Health;Caregiver;Generic
44;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Remember to take the aspirine;reminders-reminders;applicationExpert1;1-reminder_by_notification;When time becomes  17:52 minutes ,  do send  reminder  by notification;"do send  reminder  ""Remember to take the aspirine"" by notification";;Health;Caregiver;Generic
