id;rule_id;xPath;parent;realName;ECA;operator;nextOperator;value;completeName;naturalLanguage;author;ruleName
94;43;applianceState/Corridor/lightColor;corridor;light strip corridor;action;OPERATOR;NEXTOPERATOR;update:lightColor;corridor-light strip corridor; When  Bedroom motion becomes  active    and  When time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;applicationExpert1;3-bedroom_motion_night
95;44;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;17:52;datetime-localtime;When time becomes  17:52 minutes ,  do send  reminder  by notification;applicationExpert1;1-reminder_by_notification
96;44;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Remember to take the aspirine;reminders-reminders;When time becomes  17:52 minutes ,  do send  reminder  by notification;applicationExpert1;1-reminder_by_notification
97;45;user/cognitive/@vocalEmotionalState;cognitive;vocalemotionalstate;event;equal;NEXTOPERATOR;HAPPY;cognitive-vocalemotionalstate;When  Test-user vocal emotional state becomes  happy  ,  do  turn on the   Living Room Light and set color to Bright green;applicationExpert1;vocal-emotional-state
98;45;applianceState/LivingRoom/lightColor;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;update:lightColor;livingroom-hue color light living room;When  Test-user vocal emotional state becomes  happy  ,  do  turn on the   Living Room Light and set color to Bright green;applicationExpert1;vocal-emotional-state
99;46;user/physical/@layingDown;physical;layingdown;condition;equal;NEXTOPERATOR;TRUE;physical-layingdown;if Test-user1 is lying down, send the alarm by sms to 33312312312;domainExpert6;Test Daniele ManDown
100;46;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Man down alarm;alarms-alarms;if Test-user1 is lying down, send the alarm by sms to 33312312312;domainExpert6;Test Daniele ManDown
101;47;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;22:00;datetime-localtime;When time becomes  22:00 minutes ,  do send  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken um 22 Uhr
102;47;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Reminder: drink a glass of water;reminders-reminders;When time becomes  22:00 minutes ,  do send  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken um 22 Uhr
103;48;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;16:00;datetime-localtime;When time becomes  16:00 minutes ,  do send  one  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken um 16 Uhr
104;48;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Reminder: drink a glass of water;reminders-reminders;When time becomes  16:00 minutes ,  do send  one  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken um 16 Uhr
105;49;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;11:00;datetime-localtime;When time becomes  11:00 minutes ,  do send  one  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken (11 Uhr)
106;49;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Reminder: drink a glass of water;reminders-reminders;When time becomes  11:00 minutes ,  do send  one  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken (11 Uhr)
107;50;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;09:00;datetime-localtime;When time becomes  09:00 minutes ,  do send  one  reminder  by notification;domainExpert7;Erinnerung: Augentropfen und Therapie um 9 Uhr
108;50;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Reminder: eye drops and therapy;reminders-reminders;When time becomes  09:00 minutes ,  do send  one  reminder  by notification;domainExpert7;Erinnerung: Augentropfen und Therapie um 9 Uhr
109;51;XPATH;relativeposition;typeofproximity;event;inside;NEXTOPERATOR;livingroom;relativeposition-typeofproximity;When Test-user   is  inside  livingroom and time is  more then  09:30 minutes ,  do  turn on  the great luminare light;domainExpert7;Greatlampe einschalten, falls es Person nach 9:30 im Wohnzimmer ist.
110;51;environment/dateTime/@localTime;datetime;localtime;condition;more;and;09:30;datetime-localtime;When Test-user   is  inside  livingroom and time is  more then  09:30 minutes ,  do  turn on  the great luminare light;domainExpert7;Greatlampe einschalten, falls es Person nach 9:30 im Wohnzimmer ist.
111;51;applianceState/LivingRoom/greatLuminare;livingroom;greatluminare;action;OPERATOR;NEXTOPERATOR;custom:greatLuminare;livingroom-greatluminare;When Test-user   is  inside  livingroom and time is  more then  09:30 minutes ,  do  turn on  the great luminare light;domainExpert7;Greatlampe einschalten, falls es Person nach 9:30 im Wohnzimmer ist.
112;52;XPATH;relativeposition;typeofproximity;event;inside;NEXTOPERATOR;livingroom;relativeposition-typeofproximity;When  Test-user   is  inside  livingroom and time becomes  more then  22:00 minutes ,  do start relaxing light scene in the living room;domainExpert7;Great-Relaxlicht um 22 Uhr, falls Testperson im Wohnzimmer ist
113;52;environment/dateTime/@localTime;datetime;localtime;event;more;and;22:00;datetime-localtime;When  Test-user   is  inside  livingroom and time becomes  more then  22:00 minutes ,  do start relaxing light scene in the living room;domainExpert7;Great-Relaxlicht um 22 Uhr, falls Testperson im Wohnzimmer ist
114;52;applianceState/LivingRoom/@scene;livingroom;relax;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;livingroom-relax;When  Test-user   is  inside  livingroom and time becomes  more then  22:00 minutes ,  do start relaxing light scene in the living room;domainExpert7;Great-Relaxlicht um 22 Uhr, falls Testperson im Wohnzimmer ist
115;53;user/cognitive/@lastConnectionTime;cognitive;lastconnectiontime;condition;more;NEXTOPERATOR;48;cognitive-lastconnectiontime;if  Test-user last connection time is  more then  48  ,  do send  one  reminder  by notification;domainExpert7;Erinnerungen Trainingsuebungen auf dem Tablet
116;53;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Please do exercises on the tablet;reminders-reminders;if  Test-user last connection time is  more then  48  ,  do send  one  reminder  by notification;domainExpert7;Erinnerungen Trainingsuebungen auf dem Tablet
117;54;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;22:00;datetime-localtime;When time becomes  22:00 minutes ,  do send  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken um 22 Uhr
118;54;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Reminder: drink a glass of water;reminders-reminders;When time becomes  22:00 minutes ,  do send  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken um 22 Uhr
119;55;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;16:00;datetime-localtime;When time becomes  16:00 minutes ,  do send  one  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken um 16 Uhr
120;55;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Reminder: drink a glass of water;reminders-reminders;When time becomes  16:00 minutes ,  do send  one  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken um 16 Uhr
