id;rule_id;xPath;parent;realName;ECA;operator;nextOperator;value;naturalLanguage;author;ruleName;partialNaturalLanguage;descriptiveName;normalizedDescriptiveName
18;8;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;You can stop doing the exercises;if the training time for the test user is 30, send an alarm by notification;domainExpert4;Tempo di allenamento;"send an alarm ""You can stop doing the exercises"" by notification";alarms-alarms;
19;9;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Dobetin and Lampard;if Dobetin and Lampard were not taken on 22/06/2019 between 11:05 and 11:06, send two alerts by notification ;domainExpert4;Dobetin e Lampard ;if Dobetin and Lampard were not taken on 22/06/2019 between 11:05 and 11:06;activity-medicationname;
20;9;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Dobetin and Lampard ;if Dobetin and Lampard were not taken on 22/06/2019 between 11:05 and 11:06, send two alerts by notification ;domainExpert4;Dobetin e Lampard ;"send an alarm ""Dobetin and Lampard"" by notification";alarms-alarms;
21;10;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Cardicor ;if Cardicor has not been taken between 8:04 pm and 9:05 pm, send two alerts by notification;domainExpert4;Cardicor ;if Cardicor has not been taken between 8:04 pm and 9:05 pm;activity-medicationname;
22;10;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take the evening Cardicor ;if Cardicor has not been taken between 8:04 pm and 9:05 pm, send two alerts by notification;domainExpert4;Cardicor ;"send two alerts ""Cardicor "" by notification";alarms-alarms;
23;11;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Provisacor;if Provisacor has not been taken between 20:11 and 21:12, send two alerts by notification ;domainExpert4;Provisacor Sera;if Provisacor has not been taken between 20:11 and 21:12;activity-medicationname;
24;11;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take the evening Provisacor ;if Provisacor has not been taken between 20:11 and 21:12, send two alerts by notification ;domainExpert4;Provisacor Sera;"send two alerts ""Take the evening Provisacor "" by notification ";alarms-alarms;
25;12;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Tardifer lunch;If Tardifer Lunch was not taken between 1:08 PM and 2:09 PM, please send two alerts by notification;domainExpert4;Tardifer pranzo;If Tardifer Lunch was not taken between 1:08 PM and 2:09 PM;activity-medicationname;
26;12;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Tardifer ;If Tardifer Lunch was not taken between 1:08 PM and 2:09 PM, please send two alerts by notification;domainExpert4;Tardifer pranzo;"please send two alerts ""Take the evening Provisacor "" by notification";alarms-alarms;
27;13;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Duoplavin lunch;if Duoplavin lunch was not taken between 1:07 pm and 2:09 pm, send two alerts by notification;domainExpert4;Duoplavin pranzo;if Duoplavin lunch was not taken between 1:07 pm and 2:09 pm;activity-medicationname;
28;13;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Duoplavin lunch;if Duoplavin lunch was not taken between 1:07 pm and 2:09 pm, send two alerts by notification;domainExpert4;Duoplavin pranzo;"send two alerts ""Duoplavin lunch"" by notification";alarms-alarms;
29;14;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Ganfort eye drops;if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM, send two alerts by notification;domainExpert4;Ganfort collirio;if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM;activity-medicationname;
30;14;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Ganfort eye drops evening;if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM, send two alerts by notification;domainExpert4;Ganfort collirio;"send two alerts ""Ganfort eye drops evening"" by notification";alarms-alarms;
31;15;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Trusopt eye drops evening;if Trusopt evening eye drops were not taken between 8:02 pm and 9:05 pm, send two alerts by notification;domainExpert4;Trusopt collirio sera;if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM;activity-medicationname;
32;15;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Trusopt eye drops evening;if Trusopt evening eye drops were not taken between 8:02 pm and 9:05 pm, send two alerts by notification;domainExpert4;Trusopt collirio sera;"send two alerts ""Trusopt eye drops evening"" by notification";alarms-alarms;
33;16;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Trusopt lunch;if Trusopt lunch was not taken between 1:03 pm and 2:04 pm, send two alerts by notification;domainExpert4;Trusopt collirio pranzo;if Trusopt lunch was not taken between 1:03 pm and 2:04 pm;activity-medicationname;
34;16;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Trusopt eye drops lunch;if Trusopt lunch was not taken between 1:03 pm and 2:04 pm, send two alerts by notification;domainExpert4;Trusopt collirio pranzo;"send two alerts ""Trusopt lunch"" by notification";alarms-alarms;
35;17;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Trusopt eye drops;if Truopt eye drops have not been taken between 07:32 and 08:02, send two alerts by notification;domainExpert4;Trusopt;if Truopt eye drops have not been taken between 07:32 and 08:02;activity-medicationname;
36;17;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Trusopt drops morning;if Truopt eye drops have not been taken between 07:32 and 08:02, send two alerts by notification;domainExpert4;Trusopt;"send two alerts ""Take Trusopt drops morning"" by notification";alarms-alarms;
37;18;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Zoloft;if Zoloft have not been taken between 07:31 and 08:01, send two alerts by notification;domainExpert4;Zoloft;if Zoloft have not been taken between 07:31 and 08:01;activity-medicationname;
38;18;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Zoloft;if Zoloft have not been taken between 07:31 and 08:01, send two alerts by notification;domainExpert4;Zoloft;"send two alerts ""Take Zoloft"" by notification";alarms-alarms;
39;19;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Lansoprazolo;if Lansoprazolo have not been taken between 07:30 and 08:00, send two alerts by notification;domainExpert4;Lansoprazolo mattina;if Lansoprazolo have not been taken between 07:30 and 08:00;activity-medicationname;
40;19;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Lansoprazolo;if Lansoprazolo have not been taken between 07:30 and 08:00, send two alerts by notification;domainExpert4;Lansoprazolo mattina;"send two alerts ""Take Lansoprazolo"" by notification";alarms-alarms;
41;20;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Eucreas evening;if Eucreas evening was not taken between 8pm and 9pm, please send two notices by notification;domainExpert4;Eucreas della sera;if Eucreas evening was not taken between 8pm and 9pm;activity-medicationname;
42;20;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take evening Eucreas ;if Eucreas evening was not taken between 8pm and 9pm, please send two notices by notification;domainExpert4;Eucreas della sera;"please send two notices ""Eucreas evening"" by notification";alarms-alarms;
43;21;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Eucreas lunch;if Eucreas lunch was not taken between 1pm and 2pm, please send two notices by notification;domainExpert4;Eucreas Pranzo;if Eucreas lunch was not taken between 1pm and 2pm;activity-medicationname;
44;21;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Eucreas Lunch;if Eucreas lunch was not taken between 1pm and 2pm, please send two notices by notification;domainExpert4;Eucreas Pranzo;"please send two notices ""Take Eucreas Lunch"" by notification";alarms-alarms;
45;22;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Eucreas;if Eucreas morning was not taken between 7:30am and 8:00am, please send two notices by notification;domainExpert4;Eucreas mattina;if Eucreas morning was not taken between 7:30am and 8:00am;activity-medicationname;
46;22;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Morning Eucreas ;if Eucreas morning was not taken between 7:30am and 8:00am, please send two notices by notification;domainExpert4;Eucreas mattina;"please send two notices ""Take Morning Eucreas "" by notification";alarms-alarms;
47;23;technology/light/@state;greatluminaire;state;condition;notequal;and;OFF;if  Great Luminaire state is different from  off  and time is  13:37 minutes ,  do send  reminder  by notification;domainExpert4;prova n2;if  Great Luminaire state is different from  off and;greatluminaire-state;
48;23;environment/dateTime/@localTime;datetime;localtime;condition;equal;NEXTOPERATOR;13:37;if  Great Luminaire state is different from  off  and time is  13:37 minutes ,  do send  reminder  by notification;domainExpert4;prova n2;time is  13:37 minutes ;datetime-localtime;
49;23;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Turn off the great luminarie;if  Great Luminaire state is different from  off  and time is  13:37 minutes ,  do send  reminder  by notification;domainExpert4;prova n2;"do send  the reminder ""Turn off the great luminarie"" by notification";reminders-reminders;
50;24;technology/light/@state;greatluminaire;state;condition;notequal;NEXTOPERATOR;OFF;if  Great Luminaire state is different from  off  ,  do send  reminder  by notification;domainExpert4;great luminarie prova1;if  Great Luminaire state is different from  off;greatluminaire-state;
51;24;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Turn off the great luminarie;if  Great Luminaire state is different from  off  ,  do send  reminder  by notification;domainExpert4;great luminarie prova1;"do send  the reminder ""Turn off the great luminarie"" by notification";reminders-reminders;
52;25;environment/@lightLevel;livingroom;lightlevel;event;equal;NEXTOPERATOR;LOW_LIGHT;when the light level of the LivingRoom becomes poorly lit, shed some light in the living room;domainExpert4;Luce in soggiorno;when the light level of the LivingRoom becomes poorly lit;livingroom-lightlevel;
53;25;applianceState/LivingRoom/lightColor;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;update:lightColor;when the light level of the LivingRoom becomes poorly lit, shed some light in the living room;domainExpert4;Luce in soggiorno;shed some light in the living room;livingroom-hue color light living room;
54;26;user/physiological/@steps;physiological;steps;condition;less;NEXTOPERATOR;5000;if the daily steps of Test-user are less than 5000, send a reminder via email to caregiver.1@provider.it;domainExpert4;Attività  fisica;if the daily steps of Test-user are less than 5000;physiological-steps;
55;26;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;exercises on the treadmill;if the daily steps of Test-user are less than 5000, send a reminder via email to caregiver.1@provider.it;domainExpert4;Attività  fisica;"send the reminder ""exercises on the treadmill"" via email to caregiver.1@provider.it";reminders-reminders;
56;27;XPATH;relativeposition;typeofproximity;event;outside;NEXTOPERATOR;house;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;domainExpert5;Fuori casa di sera;when the test user goes out and;relativeposition-typeofproximity;
57;27;environment/dateTime/@localTime;datetime;localtime;condition;gt;and;21:00;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;domainExpert5;Fuori casa di sera;the time is between 21:00 and 22:00;datetime-localtime;
58;27;environment/dateTime/@localTime;datetime;localtime;condition;lt;and;22:00;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;domainExpert5;Fuori casa di sera;the time is between 21:00 and 22:00;datetime-localtime;
59;27;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;User 2 is away from home late at night;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;domainExpert5;Fuori casa di sera;"send two SMS alerts ""User 2 is away from home late at night"" to Caregiver 2";alarms-alarms;
60;28;user/cognitive/@trainingTime;cognitive;trainingtime;condition;less;NEXTOPERATOR;1;if the user test training time is less than 1, send an alarm by notification;domainExpert5;Esercizi cognitivi;if the user test training time is less than 1;cognitive-trainingtime;
61;28;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Keep practicing;if the user test training time is less than 1, send an alarm by notification;domainExpert5;Esercizi cognitivi;"send an alarm ""Keep practicing"" by notification";alarms-alarms;
62;29;user/activity/medication/@intakeTime;medication;intaketime;condition;notequal;NEXTOPERATOR;15:00;if  Test-user intake time is different from  15:00  ,  do send  one  alarm  by notification;domainExpert5;Assunzione farmaco ;if  Test-user intake time is different from  15:00;medication-intaketime;
63;29;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take the 3 o'clock pill;if  Test-user intake time is different from  15:00  ,  do send  one  alarm  by notification;domainExpert5;Assunzione farmaco ;"do send  one  alarm ""Take the 3 o'clock pill"" by notification";alarms-alarms;
64;30;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Aprovel/Coaprovel;If Aprovel / Coaprovel has not been taken between 20:00 and 20:15, send three notices by notification;domainExpert5;Aprovel/Coaprovel;If Aprovel / Coaprovel has not been taken between 20:00 and 20:15;activity-medicationname;
65;30;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Aprovel/Coaprovel ;If Aprovel / Coaprovel has not been taken between 20:00 and 20:15, send three notices by notification;domainExpert5;Aprovel/Coaprovel;"send three notices ""Aprovel/Coaprovel "" by notification";alarms-alarms;
66;31;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Ibustrin 200 mg 1cp /die;If Ibustrin 200mg 1cp has not been taken between 2:00pm and 2:15pm, send three notices by notification;domainExpert5;Ibustrin 200 mg 1cp/die;If Ibustrin 200mg 1cp has not been taken between 2:00pm and 2:15pm;activity-medicationname;
67;31;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Ibustrin 200 mg 1cp/die;If Ibustrin 200mg 1cp has not been taken between 2:00pm and 2:15pm, send three notices by notification;domainExpert5;Ibustrin 200 mg 1cp/die;"send three notices ""Ibustrin 200 mg 1cp/die"" by notification";alarms-alarms;
68;32;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Norvasc 5mg 1cp/die;If Navarsc 5mg 1cp /die has not been taken between 9:00am and 9:05am, send three notices by notification;domainExpert5;Norvasc 5 mg 1cp/die;If Navarsc 5mg 1cp /die has not been taken between 9:00am and 9:05am;activity-medicationname;
69;32;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Norvasc 5 mg 1cp/die;If Navarsc 5mg 1cp /die has not been taken between 9:00am and 9:05am, send three notices by notification;domainExpert5;Norvasc 5 mg 1cp/die;"send three notices ""Norvasc 5 mg 1cp/die"" by notification";alarms-alarms;
70;33;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Tenormin 1/4 cp/die;If Tenormin 1/4 cp/die has not been taken between 9:00am and 9:15am, send three notices by notification;domainExpert5;Tenormin 1/4 cp/die;If Tenormin 1/4 cp/die has not been taken between 9:00am and 9:15am;activity-medicationname;
71;33;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Tenormin 1/4 pill;If Tenormin 1/4 cp/die has not been taken between 9:00am and 9:15am, send three notices by notification;domainExpert5;Tenormin 1/4 cp/die;"send three notices ""Tenormin 1/4 pill"" by notification";alarms-alarms;
72;34;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Pantorc;If Pantorc has not been taken between 7:00am and 7:15am, send three notices by notification;domainExpert5;Assumere Pantorc 1cp/die;If Pantorc has not been taken between 7:00am and 7:15am;activity-medicationname;
73;34;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Remember to take the Pantorc;If Pantorc has not been taken between 7:00am and 7:15am, send three notices by notification;domainExpert5;Assumere Pantorc 1cp/die;"send three notices ""Remember to take the Pantorc"" by notification";alarms-alarms;
74;35;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Aplactin 20 mg 1cp/die;If Aplactin 20 mg 1 cp/die has not been taken between 8:00pm and 8:20pm, send three notices by notification;domainExpert5;Aplactin 20 mg 1cp/die;If Aplactin 20 mg 1 cp/die has not been taken between 8:00pm and 8:20pm;activity-medicationname;
75;35;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Aplactin 20 mg 1cp/die;If Aplactin 20 mg 1 cp/die has not been taken between 8:00pm and 8:20pm, send three notices by notification;domainExpert5;Aplactin 20 mg 1cp/die;"send three notices ""Aplactin 20 mg 1cp/die"" by notification";alarms-alarms;
76;36;user/cognitive/@trainingTime;cognitive;trainingtime;condition;less;NEXTOPERATOR;20;If the training time for the trial user is less than 20, send a reminder by notification;domainExpert5;Continua ad esercitarti;If the training time for the trial user is less than 20;cognitive-trainingtime;
77;36;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Do some more exercise;If the training time for the trial user is less than 20, send a reminder by notification;domainExpert5;Continua ad esercitarti;"send the reminder ""Do some more exercise"" by notification";reminders-reminders;
78;37;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Aspirine;if Aspirine has been taken   ,  do send  one  reminder  by notification;applicationExpert1;aspirine_taken;if Aspirine has been taken;activity-medicationname;
79;37;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Aspirine taken;if Aspirine has been taken   ,  do send  one  reminder  by notification;applicationExpert1;aspirine_taken;"do send  one  reminder  ""Aspirine taken"" by notification";reminders-reminders;
80;38;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Aspirine;If Aspirine has not been taken    between 17:18 and 17:22 ,  do send  one  alarm  by notification;applicationExpert1;aspirine_not_taken_in_time_interval;If Aspirine has not been taken    between 17:18 and 17:22;activity-medicationname;
81;38;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Marco did not take the Aspirine!;If Aspirine has not been taken    between 17:18 and 17:22 ,  do send  one  alarm  by notification;applicationExpert1;aspirine_not_taken_in_time_interval;"do send  one  reminder  ""Marco did not take the Aspirine!"" by notification";alarms-alarms;
82;39;environment/@lightLevel;bedroom;lightlevel;event;equal;NEXTOPERATOR;NO_LIGHT;When  Bedroom light level becomes  no light  ,  do start biorhythm light scene in the bedroom;applicationExpert1;8-no_light;When  Bedroom light level becomes  no light;bedroom-lightlevel;
83;39;applianceState/Bedroom/@scene;bedroom;biorhythmlight;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;When  Bedroom light level becomes  no light  ,  do start biorhythm light scene in the bedroom;applicationExpert1;8-no_light;do start biorhythm light scene in the bedroom;bedroom-biorhythmlight;
84;40;environment/dateTime/@localTime;datetime;localtime;event;equal;and;18:25; When time becomes  18:25 minutes and  if  Marco daily footsteps is    less then  5000  ,  do send  one  reminder  by notification;applicationExpert1;7-time_steps;When time becomes  18:25 minutes and;datetime-localtime;
85;40;user/physiological/@steps;physiological;steps;condition;less;and;5000; When time becomes  18:25 minutes and  if  Marco daily footsteps is    less then  5000  ,  do send  one  reminder  by notification;applicationExpert1;7-time_steps;if  Marco daily footsteps is    less then  5000;physiological-steps;
86;40;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Go outside to have a walk; When time becomes  18:25 minutes and  if  Marco daily footsteps is    less then  5000  ,  do send  one  reminder  by notification;applicationExpert1;7-time_steps;"do send  one  reminder ""Go outside to have a walk"" by notification";reminders-reminders;
87;41;user/position/timeInsideARoom/@timeInsideBathroom;timeinsidearoom;timeinsidebathroom;event;more;NEXTOPERATOR;2;When time inside bathroom becomes  more then  2 minutes ,  do send  one  alarm  by notification;applicationExpert1;6-time_inside_bathroom;When time inside bathroom becomes  more then  2 minutes;timeinsidearoom-timeinsidebathroom;
88;41;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Marco is in the bathroom for more than 1 hour;When time inside bathroom becomes  more then  2 minutes ,  do send  one  alarm  by notification;applicationExpert1;6-time_inside_bathroom;"do send  one  alarm ""Marco is in the bathroom for more than 1 hour"" by notification";alarms-alarms;
89;42;XPATH;relativeposition;typeofproximity;event;inside;NEXTOPERATOR;bedroom;When  Marco   is  inside  bedroom ,  do start relaxing light scene in the bedroom;applicationExpert1;4-inside_bedroom;When  Marco   is  inside  bedroom;relativeposition-typeofproximity;
90;42;applianceState/Bedroom/@scene;bedroom;relax;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;When  Marco   is  inside  bedroom ,  do start relaxing light scene in the bedroom;applicationExpert1;4-inside_bedroom;do start relaxing light scene in the bedroom;bedroom-relax;
91;43;environment/@motion;bedroom;motion;event;equal;and;TRUE; When  Bedroom motion becomes  active    and  If time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;applicationExpert1;3-bedroom_motion_night;When  Bedroom motion becomes  active and;bedroom-motion;
92;43;environment/dateTime/@localTime;datetime;localtime;condition;between;and;17:55; When  Bedroom motion becomes  active    and  If time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;applicationExpert1;3-bedroom_motion_night;If time  is between 17:55 AND 18:00;datetime-localtime;
93;43;environment/dateTime/@localTime;datetime;localtime;condition;lt;and;18:00; When  Bedroom motion becomes  active    and  If time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;applicationExpert1;3-bedroom_motion_night;If time  is between 17:55 AND 18:00;datetime-localtime;
94;43;applianceState/Corridor/lightColor;corridor;light strip corridor;action;OPERATOR;NEXTOPERATOR;update:lightColor; When  Bedroom motion becomes  active    and  If time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;applicationExpert1;3-bedroom_motion_night;do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;corridor-light strip corridor;
95;44;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;17:52;When time becomes  17:52 minutes ,  do send  reminder  by notification;applicationExpert1;1-reminder_by_notification;When time becomes  17:52 minutes;datetime-localtime;
96;44;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Remember to take the aspirine;When time becomes  17:52 minutes ,  do send  reminder  by notification;applicationExpert1;1-reminder_by_notification;"do send  reminder  ""Remember to take the aspirine"" by notification";reminders-reminders;
97;45;user/cognitive/@vocalEmotionalState;cognitive;vocalemotionalstate;event;equal;NEXTOPERATOR;HAPPY;When  Test-user vocal emotional state becomes  happy  ,  do  turn on the   Living Room Light and set color to Bright green;applicationExpert1;vocal-emotional-state;When  Test-user vocal emotional state becomes  happy;cognitive-vocalemotionalstate;
98;45;applianceState/LivingRoom/lightColor;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;update:lightColor;When  Test-user vocal emotional state becomes  happy  ,  do  turn on the   Living Room Light and set color to Bright green;applicationExpert1;vocal-emotional-state;do  turn on the   Living Room Light and set color to Bright green;livingroom-hue color light living room;
99;46;user/physical/@layingDown;physical;layingdown;condition;equal;NEXTOPERATOR;TRUE;if Test-user1 is lying down, send the alarm by sms to 33312312312;domainExpert6;Test Daniele ManDown;if Test-user1 is lying down;physical-layingdown ???;
100;46;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Man down alarm;if Test-user1 is lying down, send the alarm by sms to 33312312312;domainExpert6;Test Daniele ManDown;"send the alarm ""Man down alarm"" by sms to 33312312312";alarms-alarms;
101;47;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;22:00;When time becomes  22:00 minutes ,  do send  reminder  by notification;domainExpert7;Erinnerung: Glas Wasser trinken um 22 Uhr;When time becomes  22:00 minutes;datetime-localtime;
